first_name,last_name,email,Password,gender,Phone Number,Credit Card number,Drug Name,Drug Company,Price,Image,stocks,Drug Code
Myrvyn,Accum,maccum1i@etsy.com,LBC5FNw,Male,726-745-5873,,wasp hymenoptera venom multidose,Jubilant HollisterStier LLC,44,http://dummyimage.com/189x160.png/dddddd/000000,63,65044-9953
Ced,Gianni,cgianni1j@about.me,K4tVphw4n3YE,Male,900-684-8220,4936710478056919,Alcohol,Wal-Mart Stores Inc,64,http://dummyimage.com/149x176.png/5fa2dd/ffffff,51,49035-107
Lanie,Muggleston,lmuggleston1k@etsy.com,mBI3XjBXdiT2,Male,957-837-6972,36017278688173,"Titanium Dioxide, Octinoxate","Dong Sung Pharm. Co., Ltd.",27,http://dummyimage.com/218x117.png/dddddd/000000,82,42361-029
Fraser,Swarbrigg,fswarbrigg1l@archive.org,Icp1UU7t6U,Male,447-956-0626,5018123505134322020,Cotton Linters,"Nelco Laboratories, Inc.",23,http://dummyimage.com/235x125.png/5fa2dd/ffffff,71,36987-2202
Howey,Braganza,hbraganza1m@ibm.com,5tvP02zHi,Male,403-722-6306,3587665640407867,Trimethobenzamide Hydrochloride,"Mutual Pharmaceutical Company, Inc.",97,http://dummyimage.com/120x218.png/dddddd/000000,51,53489-376
Jimmy,Steele,jsteele1n@php.net,NCtLC1OVn,Male,714-340-8217,3583337937373855,sodium phosphate,Walgreen Company,1,http://dummyimage.com/169x231.png/5fa2dd/ffffff,44,0363-0005
Egor,Salter,esalter1o@dailymotion.com,SriRXzqdmWl,Male,469-711-1279,6331105175094121,DOCUSATE SODIUM -SENNOSIDES,Aidarex Pharmaceuticals LLC,65,http://dummyimage.com/176x144.png/5fa2dd/ffffff,58,33261-749
Cosimo,Bockler,cbockler1p@newyorker.com,ZAgGEubL,Male,250-748-4504,3557806988757291,Fosinopril Sodium,Bryant Ranch Prepack,75,http://dummyimage.com/245x206.png/dddddd/000000,59,63629-5279
Benedikta,Pulbrook,bpulbrook1q@opensource.org,zsbTo5Xru,Female,679-357-9234,5038520333710062960,Levofloxacin,Wockhardt Limited,48,http://dummyimage.com/193x121.png/dddddd/000000,70,55648-545
Yulma,Aldie,yaldie1r@goodreads.com,ZnVB0B,Male,348-367-8275,,Divalproex Sodium,Contract Pharmacy Services-PA,66,http://dummyimage.com/196x172.png/cc0000/ffffff,2,67046-121
Rodger,Reddoch,rreddoch1s@cornell.edu,sgNlaEfwnT3,Male,963-788-2685,,Fentanyl,"Watson Laboratories, Inc.",60,http://dummyimage.com/245x140.png/ff4444/ffffff,4,0591-3603
Gardie,Benneton,gbenneton1t@freewebs.com,WEzYUkbR4cLz,Male,377-965-2694,,doxepin hydrochloride,Unit Dose Services,93,http://dummyimage.com/222x165.png/dddddd/000000,20,50436-4565
Trisha,Riditch,triditch1u@walmart.com,cQrJTmmnQWL,Female,771-299-2483,3536581776142313,acetaminophen,L Perrigo Company,86,http://dummyimage.com/199x127.png/ff4444/ffffff,9,0113-0397
Nancee,Le Floch,nlefloch1v@ft.com,u3RA8trzX,Female,978-690-2827,,"Avobenzone, Octinoxate, Octisalate, Octocrylene, Oxybenzone",Beiersdorf Inc,59,http://dummyimage.com/167x120.png/ff4444/ffffff,91,10356-802
Cosimo,Armatage,carmatage1w@usnews.com,E64US5Q2Gv,Male,902-997-0642,,Triamterene and Hydrochlorothiazide,"Physicians Total Care, Inc.",89,http://dummyimage.com/200x185.png/dddddd/000000,39,54868-5113
Jeramie,Probat,jprobat1x@hud.gov,AW4iz2zx8D4,Male,469-422-7576,3564249672854192,Acyclovir,Cadila Pharmaceuticals Limited,31,http://dummyimage.com/184x185.png/dddddd/000000,84,65691-0006
Myrtie,Cunliffe,mcunliffe1y@adobe.com,Bm54oh1Emvo,Female,275-798-6153,,Lidocaine Hydrochloride,Unit Dose Services,34,http://dummyimage.com/133x141.png/ff4444/ffffff,93,50436-0775
Neale,Arnoldi,narnoldi1z@house.gov,klbCsPB,Male,766-703-5346,3545144528296843,OCTINOXATE and TITANIUM DIOXIDE,CHANEL PARFUMS BEAUTE,35,http://dummyimage.com/118x140.png/cc0000/ffffff,50,68745-1018
Fanechka,Taberner,ftaberner20@goo.gl,5pzETIdcAQb,Female,233-660-3832,3568732095375479,"Anthracinum, Arsenicum album, Botulinum, Calcarea hypophosphorosa, Coxiella burnetii, Dysentery bacillus, Francisella tularensis, Gaertner bacillus, Kali sulphuricum, Lac caninum, Malaria officinalis, Mutabile bacillus, Pertussinum, Pestinum, Pyrogenium, Typhoid fever,","Deseret Biologicals, Inc.",89,http://dummyimage.com/221x160.png/5fa2dd/ffffff,5,43742-0015
Neall,MacTrustey,nmactrustey21@china.com.cn,ZzdL5FDLsVi,Male,997-823-6206,,Magnesium Sulfate,Safeway Inc,49,http://dummyimage.com/208x139.png/dddddd/000000,16,21130-602
Bryanty,Adaway,badaway22@rambler.ru,xDrezO7i,Male,939-512-0123,3564790188234858,diphenhydramine HCl,American Sales Company,52,http://dummyimage.com/244x117.png/5fa2dd/ffffff,90,41520-462
Ruperta,Carabet,rcarabet23@cbslocal.com,ZHQYuS1B,Female,807-184-8169,6767253621726442,TOBRAMYCIN SULFATE,"Fresenius Kabi USA, LLC",87,http://dummyimage.com/158x115.png/cc0000/ffffff,15,63323-305
Shaylyn,Glowinski,sglowinski24@netscape.com,I6AwHHut,Female,185-778-3748,,hydrochlorothiazide,State of Florida DOH Central Pharmacy,6,http://dummyimage.com/139x209.png/5fa2dd/ffffff,56,53808-0422
Hermy,Pirozzi,hpirozzi25@creativecommons.org,ejWOfC,Male,349-111-2124,3564533588118440,capsaicin,fabrication enterprises,64,http://dummyimage.com/219x232.png/5fa2dd/ffffff,11,51452-010
Kaja,Spadaro,kspadaro26@bigcartel.com,3fKh4dFhGDYi,Female,177-268-7684,,FLUDARABINE PHOSPHATE,"Hospira Worldwide, Inc.",80,http://dummyimage.com/135x216.png/5fa2dd/ffffff,69,61703-344
Gallard,Kilfoyle,gkilfoyle27@ucla.edu,SDSb2h,Male,142-697-1246,,tizanidine hydrochloride,Bryant Ranch Prepack,56,http://dummyimage.com/147x210.png/5fa2dd/ffffff,89,63629-5139
Randie,Hulland,rhulland28@weebly.com,8wTC817Q,Female,225-974-9138,3568460385330893,Sodium monofluorophosphate,Delta Brands Inc,34,http://dummyimage.com/103x102.png/5fa2dd/ffffff,18,20276-552
Teddy,Edeson,tedeson29@sfgate.com,uJJCX1s,Female,658-172-5961,,Anagrelide Hydrochloride,"IVAX Pharmaceuticals, Inc.",97,http://dummyimage.com/207x109.png/dddddd/000000,64,0172-5240
Nathanael,Fransinelli,nfransinelli2a@eventbrite.com,QYIQaFiN6hOF,Male,445-517-0251,560221547916763135,Albumin (Human),CSL Behring LLC,23,http://dummyimage.com/110x142.png/dddddd/000000,37,0053-7670
Montgomery,Wurz,mwurz2b@wordpress.com,Xsy1gEEmH,Male,981-224-5074,30591940181862,Hydrogen Peroxide,"Aaron Industries, Inc.",43,http://dummyimage.com/108x232.png/dddddd/000000,98,49580-0300
Corbin,Muress,cmuress2c@hexun.com,9p7jAG,Male,127-879-1360,5048374838790303,"Phytolacca Decandra, Trifolium Pratense, Xanthoxylum Fraxineum, Arsenicum Album, Belladonna, Chelidonium Majus","BioActive Nutritional, Inc.",91,http://dummyimage.com/186x149.png/ff4444/ffffff,49,43857-0002
Sawyer,Shotboulte,sshotboulte2d@xrea.com,XmJ1LNJfZ,Male,903-468-9607,3549133558304185,clonidine,Mylan Pharmaceuticals Inc.,63,http://dummyimage.com/157x215.png/5fa2dd/ffffff,11,0378-0871
Karim,Nyles,knyles2e@reuters.com,uwhEebGb4,Male,316-208-9587,3543911085191316,Diclofenac Potassium,Carilion Materials Management,50,http://dummyimage.com/107x167.png/dddddd/000000,76,68151-0561
Grethel,Beekmann,gbeekmann2f@google.de,2UG0qCi6Zkle,Female,933-215-9450,3545056854520788,Longleaf Pine,"Nelco Laboratories, Inc.",71,http://dummyimage.com/238x179.png/dddddd/000000,76,36987-2954
Chicky,Ovell,covell2g@ucoz.ru,3rwTtpn6Brq,Male,257-940-4584,3553680170239762,"vitamin/mineral supplement with magnesium carbonate, calcium carbonate and folic acid",Carilion Materials Management,77,http://dummyimage.com/246x140.png/5fa2dd/ffffff,8,68151-4243
Bab,Humpherston,bhumpherston2h@meetup.com,VOt2rp3Zbhi,Female,571-720-6658,,levothyroxine sodium,Cardinal Health,14,http://dummyimage.com/205x222.png/dddddd/000000,93,55154-7808
Jaquelyn,Meron,jmeron2i@geocities.com,1Rw9ql61,Female,661-965-3367,201834002992385,Atenolol,St Marys Medical Park Pharmacy,26,http://dummyimage.com/148x239.png/5fa2dd/ffffff,11,60760-061
Giacobo,Wagerfield,gwagerfield2j@ebay.co.uk,8jNQVOC,Male,939-837-7678,50202367916777844,Candesartan cilexetil,Par Pharmaceutical Inc.,50,http://dummyimage.com/127x237.png/dddddd/000000,33,49884-660
Roma,Ewbanche,rewbanche2k@wikispaces.com,h1hvJAssC,Male,935-770-1530,5610087590526602,METFORMIN HYDROCHLORIDE,Nostrum Laboratories Inc.,6,http://dummyimage.com/139x147.png/ff4444/ffffff,42,29033-018
Harold,Loxdale,hloxdale2l@google.pl,9pg1YDgA,Male,841-285-3680,,calcipotriene and betamethasone dipropionate,"Physicians Total Care, Inc.",56,http://dummyimage.com/172x213.png/dddddd/000000,6,54868-5680
Vin,Edy,vedy2m@mayoclinic.com,Iv8H9VRq0cw,Female,517-294-8521,,Amlodipine besylate,Torrent Pharmaceuticals Limited,44,http://dummyimage.com/249x241.png/cc0000/ffffff,76,13668-024
Lynnet,Howard - Gater,lhowardgater2n@statcounter.com,YKIDwSFaRdxI,Female,162-980-1155,4917823741622053,buprenorphine hydrochloride and naloxone hydrochloride,"Physicians Total Care, Inc.",69,http://dummyimage.com/191x182.png/5fa2dd/ffffff,5,54868-5707
Sebastiano,Broadbear,sbroadbear2o@businessweek.com,seNSxarut5u,Male,863-726-0771,6762981664575434,clobetasol propionate,"Physicians Total Care, Inc.",83,http://dummyimage.com/153x187.png/ff4444/ffffff,63,54868-5510
Hanni,Polglase,hpolglase2p@howstuffworks.com,gL7wP7L1PRf,Female,419-895-1548,5602253035782180,"Bryonia,",Apotheca Company,60,http://dummyimage.com/249x246.png/dddddd/000000,9,57520-0727
Mortimer,Musker,mmusker2q@dagondesign.com,BUL9eN9xYGsZ,Male,993-198-5560,,Aspirin,Pace Wellness Inc.,50,http://dummyimage.com/111x134.png/cc0000/ffffff,27,62309-777
Jeanne,Briddle,jbriddle2r@technorati.com,ZJ7JNNflT,Female,574-355-4674,63048631698975699,PANCRELIPASE,"Janssen Pharmaceuticals, Inc.",45,http://dummyimage.com/153x250.png/5fa2dd/ffffff,81,50458-342
Thane,Ridger,tridger2s@yellowpages.com,kgT7rxX,Male,306-256-2585,3536045032660963,IRIS VERSICOLOR ROOT,Natural Health Supply,32,http://dummyimage.com/116x230.png/5fa2dd/ffffff,98,64117-241
Mendie,Neely,mneely2t@slate.com,E3DrPN9e,Male,323-685-4002,6767626017574809,OCTINOXATE and AVOBENZONE,Guthy-Renker LLC,89,http://dummyimage.com/112x148.png/ff4444/ffffff,80,11410-564
Neron,Malenfant,nmalenfant2u@gov.uk,O09m5T,Male,641-116-5017,3556500306259335,Prazosin Hydrochloride,Bryant Ranch Prepack,13,http://dummyimage.com/249x161.png/ff4444/ffffff,21,63629-5007
Tatiania,Duplain,tduplain2v@amazon.co.jp,ez0uXL,Female,212-383-9310,,temazepam,"Mallinckrodt, Inc.",29,http://dummyimage.com/209x158.png/cc0000/ffffff,8,0406-9960
Jacinda,Fairlie,jfairlie2w@nbcnews.com,WFpcnTJk,Female,228-460-0054,,ciprofloxacin hydrochloride,"H.J. Harkins Company, Inc.",75,http://dummyimage.com/248x247.png/dddddd/000000,77,52959-730
Diandra,Grogor,dgrogor2x@etsy.com,FcVIE28TOU,Female,657-481-0049,,Ethyl Alcohol,Derma Sciences,80,http://dummyimage.com/119x190.png/dddddd/000000,30,25382-505
Horten,Youtead,hyoutead2y@washington.edu,9oCoBdDce5q,Male,509-613-0824,,Fexofenadine hydrochloride,Safeway Inc,37,http://dummyimage.com/117x153.png/ff4444/ffffff,38,21130-784
Anna-diana,Gerretsen,agerretsen2z@shinystat.com,0ehdd7Xho,Female,604-382-5602,,"Adenosinum cyclophosphoricum, Adrenalinum, Adrenocorticotrophin, Agraphis nutans, Allium cepa, Collinsonia canadensis, Cortisone aceticum, Euphrasia officinalis, Galphimia glauca, Histaminum hydrochloricum, Kali muriaticum, Mucosa nasalis suis, Natrum muriaticum, RNA, Rumex crispus, Sabadilla, Salvia officinalis, Tanacetum vulgare, Trifolium pratense, Vinca minor",King Bio Inc.,13,http://dummyimage.com/179x205.png/5fa2dd/ffffff,49,57955-8325
Waldo,Kennett,wkennett30@facebook.com,Q2tmEQ,Male,341-478-1396,5641822198876196,Oxcarbazepine,"Physicians Total Care, Inc.",24,http://dummyimage.com/117x127.png/ff4444/ffffff,99,54868-6073
Page,Rudsdell,prudsdell31@networkadvertising.org,DDPFArb,Female,734-405-9648,,"Sodium Phosphate Monobasic, Sodium Phosphate Dibasic",Dynarex Corporation,16,http://dummyimage.com/235x136.png/ff4444/ffffff,39,67777-402
Bobby,Bryns,bbryns32@mlb.com,KAvFRXLP,Female,782-534-1565,3564269039374270,Warfarin Sodium,Camber Pharmaceuticals,75,http://dummyimage.com/103x203.png/dddddd/000000,49,31722-331
Alair,Scutcheon,ascutcheon33@dagondesign.com,eUrxWwNnLwM,Male,131-800-8301,3567450777042769,Amlodipine Besylate,Aidarex Pharmaceuticals LLC,55,http://dummyimage.com/181x177.png/5fa2dd/ffffff,16,33261-826
Viole,Titmus,vtitmus34@imageshack.us,1HqqlMWagmCw,Female,181-676-9031,589304169756993463,Salicylic Acid and Benzoyl Peroxide,Reckitt Benckiser LLC,5,http://dummyimage.com/177x193.png/ff4444/ffffff,13,63824-354
Jenn,Ciobotaru,jciobotaru35@yale.edu,ptY8VVMw,Female,666-665-7056,3556932938309214,Acetaldehyde,"Deseret Biologicals, Inc.",15,http://dummyimage.com/167x244.png/cc0000/ffffff,28,43742-0188
Annecorinne,Bolton,abolton36@webs.com,MmqNVCf8,Female,121-728-5353,,Thuja Occidentalis,"Nature's Innovation, Inc.",61,http://dummyimage.com/220x210.png/cc0000/ffffff,35,10893-694
Farra,Rozzell,frozzell37@tinyurl.com,JfRqU39RxT,Female,295-511-5947,3533832281113049,"beta carotene, ascorbic acid, cholecalciferol, .alpha.-tocopherol acetate, dl-, thiamine mononitrate, riboflavin, niacinamide, pyridoxine hydrochloride, folic acid, cyanocobalamin, calcium carbonate, iron, magnesium oxide, zinc oxide, cupric oxide,omega-3 fatty acids",Seton Pharmaceuticals,13,http://dummyimage.com/115x119.png/5fa2dd/ffffff,73,13925-100
Gordie,Rudram,grudram38@edublogs.org,PtOyytsU59,Male,334-926-9561,,Famotidine,Publix Super Markets Inc,8,http://dummyimage.com/237x143.png/ff4444/ffffff,13,56062-141
Dasha,De Banke,ddebanke39@oracle.com,nENucKFg,Female,905-861-8858,,Carbo Prunus comp. Special Order,Uriel Pharmacy Inc.,78,http://dummyimage.com/186x203.png/5fa2dd/ffffff,2,48951-3169
